"","CODE","SEC_NAME","IPO_DATE","EXCH_CITY","MKT","TRADE_CODE","COMPINDEX2","CONCEPT","SHSC","INDUSTRY_GICS","INDUSTRY_GICSCODE","INDEXCODE_WIND","INDUSTRY_SW","INDUSTRY_SWCODE","INDEXCODE_SW","INDUSTRY_CITIC","INDUSTRY_CITICCODE","TOTAL_SHARES","FLOAT_A_SHARES","HOLDER_TOP10PCT","HOLDER_CONTROLLER","HOLDER_TOTALBYINST","HOLDER_TOTALBYFUND","HOLDER_TOTALBYBYSEC","HOLDER_NUM","HOLDER_AVGNUM","HOLDER_AVGPCT","HOLDER_HAVGPCTCHANGE","HOLDER_QAVGPCTCHANGE","CLOSE","PCT_CHG_PER"
"2370","600773.SH","西藏城投",35377,"上海","主板","600773","否","涉矿;西藏振兴;国家队;融资融券标的;超涨","是","金融","40",NA,"房地产","6118000000000000","801180.SI","房地产","b10n000000000000",729213663,693147651,NA,"上海市闸北区国有资产监督管理委员会",374635719,25072023,NA,29043,18580.6902179527,0.0344317033886909,21.9192232207417,16.6511723995455,23.97,39.6853146853147
"2371","600774.SH","汉商集团",35377,"上海","主板","600774","否","超涨","否","可选消费","25",NA,"商业贸易","6120000000000000","801200.SI","商贸零售","b10e000000000000",174575386,174429024,NA,"武汉市汉阳区国有资产监督管理办公室",97008115,1749579,4964667,7235,24109.0565307533,0.138217002153397,66.4547339322737,44.6026261230131,21.63,14.6263910969793
"2372","600775.SH","南京熊猫",35387,"上海","主板","600775","否","机器人;工业4.0;融资融券标的;含H股的A股;超涨","是","信息技术","45",NA,"通信","1000012611000000","801770.SI","通信","b10q000000000000",913838529,632622843,NA,"国务院国有资产监督管理委员会",378130478,23506351,NA,24626,25725.7876052214,0.0406652837991714,-25.7411248017567,-2.87096905371885,18.88,9.895227008149
"2373","600776.SH","东方通信",35395,"上海","主板","600776","否","央企;移动互联网;4G;国家队;证金概念;融资融券标的;含B股的A股;超涨","是","信息技术","45",NA,"通信","1000012611000000","801770.SI","通信","b10q000000000000",1256000064,956000064,NA,"国务院国有资产监督管理委员会",636963772,34342802,NA,88181,NA,NA,-26.3889046393214,1.38124992912305,12.9,29.5180722891566
"2374","600777.SH","新潮实业",35390,"上海","主板","600777","否","借壳上市;重组;融资融券标的","否","金融","40",NA,"房地产","6118000000000000","801180.SI","建筑","b107000000000000",860030493,625423279,NA,"刘志臣",94809812,748793,NA,39575,15800.5682627922,0.0252684783190489,12.1844598862918,3.3607075173721,11.8,0
"2375","600778.SH","友好集团",35402,"上海","主板","600778","否","丝绸之路;预减","否","可选消费","25",NA,"商业贸易","6120000000000000","801200.SI","商贸零售","b10e000000000000",311491352,311086712,NA,"乌鲁木齐市国有资产监督管理委员会",121991073,3713554,NA,35023,8860.26017188705,0.0285526663064957,13.8109242497787,7.86340404876797,12.1,6.51408450704225
"2376","600779.SH","*ST水井",35405,"上海","主板","600779","否","外资并购(国际板);ST概念;*ST;超涨","否","日常消费","30",NA,"食品饮料","6112000000000000","801120.SI","食品饮料","b10j000000000000",488545698,295323512,NA,"Diageo Plc.",10972165,3477012,NA,64306,4592.47211768731,0.0155506487935781,5.36341865455789,-2.35903337169158,13.02,38.9541088580576
"2377","600780.SH","通宝能源",35404,"上海","主板","600780","否","大盘蓝筹","是","公用事业","55",NA,"公用事业","6116000000000000","801160.SI","电力及公用事业","b104000000000000",1146502523,1146502523,NA,"山西省人民政府国有资产监督管理委员会",773370615,53797373,NA,61201,18733.3952549795,0.0163396019488573,17.3167105112662,12.1844414306956,7.62,3.95634379263301
"2378","600781.SH","辅仁药业",35417,"上海","主板","600781","否","超涨;超跌","否","医疗保健","35",NA,"医药生物","6115000000000000","801150.SI","医药","b10i000000000000",177592864,177592864,NA,"朱文臣",58422314,7695043,NA,10986,16165.379938103,0.0910249426960945,10.6135081012197,-4.09612233752049,19.36,0
"2379","600782.SH","新钢股份",35424,"上海","主板","600782","否","重组;超涨;预增","否","材料","15",NA,"钢铁","6104000000000000","801040.SI","钢铁","b105000000000000",1393448106,1393448106,NA,"江西省人民政府国有资产监督管理委员会",1171287780,19506780,NA,28183,49442.8593833162,0.0354823842644691,-1.22414221339107,-8.02256679558599,5.73,10.1923076923077
