"","ErrorCode","Data.CODE","Data.LASTTRADE_DATE","Data.LASTDELIVERY_DATE","Data.DLMONTH","Data.LPRICE","Data.SCCODE","Data.MARGIN","Data.PUNIT","Data.CHANGELT","Data.MFPRICE","Data.CONTRACTMULTIPLIER","Data.CDMONTHS","Data.THOURS","Data.LTDATED","Data.DDATE","Data.FTMARGINS","Data.TRADE_HISCODE","Data.CLOSE","Data.TURN","Data.OI","Data.OI_CHG","Data.PCT_CHG_SETTLEMENT","Data.DISCOUNT_RATIO","Data.DISCOUNT","Data.HIS_CLOSE","Data.HIS_OPEN","Data.HIS_HIGH","Data.HIS_LOW","Data.HIS_SETTLE","Data.HIS_PRESETTLE","Data.HIS_AVGPRICE","Data.HIS_CHANGE","Data.HIS_CHANGE_SETTLEMENT","Data.HIS_PCTCHANGE","Data.HIS_PCTCHANGE_SETTLEMENT","Data.HIS_SWING","Data.HIS_VOLUME","Data.HIS_TURNOVER","Data.HIS_OI","Data.HIS_OICHANGE","Data.ST_STOCK","Data.US_PRECLOSE","Data.US_OPEN","Data.US_HIGH","Data.US_LOW","Data.US_CLOSE","Data.US_AVGPRICE","Data.US_CHANGE","Data.US_PCTCHANGE","Data.US_TURN","Data.US_VOLUME","Data.US_AMOUNT","Data.US_SWING","Data.TBF_CVF2","Data.TBF_CVF","Data.TBF_IRR","Data.TBF_INTEREST","Data.TBF_PAYMENT","Data.TBF_DELIVERPRICE","Data.TBF_INVOICEPRICE","Data.TBF_SPREAD","Data.TBF_BASIS","Data.TBF_CTD","Time"
"542",0,"GNFZ16E.CME",42739,0,"201612",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFZ16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"543",0,"HFOH16E.CME",42443,42445,"201603",NA,"CME匈牙利福林兑美元",NA,"张",NA,"0.0000002美元/匈牙利福林",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"HFOH16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"544",0,"HFOH17E.CME",42807,42809,"201703",NA,"CME匈牙利福林兑美元",NA,"张",NA,"0.0000002美元/匈牙利福林",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"HFOH17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"545",0,"HFOM16E.CME",42534,42536,"201606",NA,"CME匈牙利福林兑美元",NA,"张",NA,"0.0000002美元/匈牙利福林",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"HFOM16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"546",0,"HFOU16E.CME",42632,42634,"201609",NA,"CME匈牙利福林兑美元",NA,"张",NA,"0.0000002美元/匈牙利福林",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"HFOU16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"547",0,"HFOZ15E.CME",42352,42354,"201512",NA,"CME匈牙利福林兑美元",NA,"张",NA,"0.0000002美元/匈牙利福林",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"HFOZ15E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"548",0,"HFOZ16E.CME",42723,42725,"201612",NA,"CME匈牙利福林兑美元",NA,"张",NA,"0.0000002美元/匈牙利福林",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"HFOZ16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"549",0,"ILSH16E.CME",42443,42445,"201603",NA,"CME以色列谢克尔兑美元",NA,"张",NA,"0.00001美元/以色列谢克尔",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ILSH16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"550",0,"ILSH17E.CME",42807,42809,"201703",NA,"CME以色列谢克尔兑美元",NA,"张",NA,"0.00001美元/以色列谢克尔",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ILSH17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"551",0,"ILSM16E.CME",42534,42536,"201606",NA,"CME以色列谢克尔兑美元",NA,"张",NA,"0.00001美元/以色列谢克尔",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ILSM16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
